# workstation war game answer sheet — 0624_axis dataset.zarr episode 0 (n=1135 steps, 59.94 fps)
# generated 2026-07-06 on oem@147.47.191.80, source: data/robot0_eef_rot_axis_angle[:1135]
#
# ==== 계산식 (이 정의와 다르면 곡선이 어긋나는 게 정상이니 반드시 맞출 것) ====
# R_cmd  = Rotation.from_rotvec(zarr rotvec)                     # zarr 정답 자세
# uvw    = R_cmd.as_euler('zxz', degrees=True)                   # 현재 배포코드가 로봇에 쓰는 UVW
# R_raw  = Rotation.from_euler('xyz', uvw, degrees=True)         # 로봇의 물리 해석 (SDK: extrinsic RPY)
# O      = R_cmd[0] * R_raw[0].inv()                             # step0에서 오차 0이 되는 상수 offset (WORLD측 좌곱)
# R_old  = O * R_raw                                             # [수정 전] 로봇이 취하게 될 물리 자세
# [수정 후] = R_cmd 그대로 (xyz 통역은 항등이므로 별도 컬럼 없음 — zarr_* 컬럼이 곧 수정 후)
# err_old_deg = angle(R_cmd^-1 * R_old)                          # 통역 오류가 만든 자세 오차
# rel_* = (R[0].inv() * R[k]).as_rotvec()                        # 에피소드 시작 기준 상대회전 (body쪽 아님, 이 식 그대로)
# tool offset은 O(step0 보정) 외에 일절 미적용 — [B] 비교 시 offset [0,0,0] 상태와 대조할 것
# 단위: rotvec=rad, rpy/uvw/err=deg. rpy는 extrinsic 'xyz' 분해.
step,t_sec,zarr_rotvec_x,zarr_rotvec_y,zarr_rotvec_z,zarr_rpy_roll,zarr_rpy_pitch,zarr_rpy_yaw,uvw_zxz_u,uvw_zxz_v,uvw_zxz_w,old_rotvec_x,old_rotvec_y,old_rotvec_z,old_rpy_roll,old_rpy_pitch,old_rpy_yaw,rel_zarr_rotvec_x,rel_zarr_rotvec_y,rel_zarr_rotvec_z,rel_old_rotvec_x,rel_old_rotvec_y,rel_old_rotvec_z,err_old_deg
0,0.000000000,-2.641662598,0.035778843,-0.008470655,-151.368480996,0.026868753,-1.545083695,-179.943927042,151.368469456,178.504132632,-2.641662598,0.035778843,-0.008470655,-151.368480996,0.026868753,-1.545083695,0.000000000,-0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1,0.016683350,-2.642844439,0.035937071,-0.007826908,-151.436567454,0.053796761,-1.544411435,-179.887485519,151.436521062,178.554408704,-2.641075938,0.036391071,-0.006652227,-151.336111623,0.107743633,-1.551316039,-0.001188341,-0.000418263,0.000214657,0.000565080,-0.001186590,0.000772180,0.114242144
2,0.033366700,-2.643156528,0.035751883,-0.006927829,-151.454664807,0.088239841,-1.527447423,-179.815341904,151.454539899,178.634763440,-2.640460485,0.037906201,-0.005835084,-151.302500606,0.157286996,-1.604718049,-0.001504500,-0.001087827,0.000242268,0.001153247,-0.001498003,0.002005117,0.184235127
3,0.050050050,-2.643710852,0.034498900,-0.006142691,-151.485745506,0.106817498,-1.468126470,-179.776241854,151.485562228,178.728489335,-2.640525752,0.039626164,-0.004639199,-151.308357232,0.223831681,-1.662292769,-0.002048218,-0.001867826,-0.000512201,0.001053832,-0.002035248,0.003443837,0.288198166
4,0.066733400,-2.644277811,0.033728901,-0.005706666,-151.517801673,0.116186921,-1.432096864,-179.756364299,151.517584544,178.782050321,-2.640603044,0.040527349,-0.003625659,-151.314149081,0.274413303,-1.688419791,-0.002608598,-0.002311918,-0.000986885,0.000954846,-0.002591392,0.004267261,0.364097703
5,0.083416750,-2.643722057,0.035207253,-0.005716577,-151.487125121,0.131477422,-1.492553785,-179.724573322,151.486847437,178.749466143,-2.639791909,0.040034926,-0.004516344,-151.266764666,0.233746202,-1.677884757,-0.002071997,-0.002041899,0.000068037,0.001780554,-0.002055195,0.003766366,0.305982784
6,0.100100100,-2.643668652,0.035503887,-0.005779951,-151.484279415,0.132005107,-1.505302523,-179.723493188,151.483999531,178.737659971,-2.639678912,0.039810718,-0.004644309,-151.260017308,0.226298683,-1.670121602,-0.002022026,-0.001943563,0.000267899,0.001897867,-0.002005980,0.003585232,0.294246829
7,0.116783450,-2.643574238,0.035345167,-0.005728736,-151.478763455,0.132523437,-1.498340148,-179.722456649,151.478481433,178.745520379,-2.639724519,0.040002564,-0.004730695,-151.262767943,0.224739010,-1.678823302,-0.001925926,-0.002009619,0.000165607,0.001850163,-0.001909289,0.003705353,0.296605738
8,0.133466800,-2.643378973,0.034417458,-0.005520513,-151.466921493,0.131557945,-1.458474661,-179.724583391,151.466643702,178.783490045,-2.640067253,0.040845003,-0.004803903,-151.283167065,0.230223511,-1.713793886,-0.001720200,-0.002327681,-0.000453237,0.001495613,-0.001701068,0.004286441,0.330128234
9,0.150150150,-2.643415213,0.032865606,-0.005082013,-151.467973262,0.133331311,-1.390743005,-179.720861470,151.467687920,178.854494001,-2.640570159,0.042284717,-0.004408655,-151.313594023,0.260834625,-1.768157265,-0.001740232,-0.002920406,-0.001476529,0.000967731,-0.001715968,0.005374795,0.427705794
10,0.166833500,-2.643347025,0.032073133,-0.005028215,-151.463495757,0.127372449,-1.357940301,-179.733374949,151.463235398,178.876293061,-2.640963439,0.042757483,-0.004392606,-151.336607852,0.266027372,-1.787121259,-0.001662715,-0.003103056,-0.002028910,0.000567087,-0.001637903,0.005708366,0.468930447
