episode,anchors,dropped,ratio,left_missing,right_missing,first_anchor_timestamp,first_left_ft_timestamp,first_right_ft_timestamp
0,748,1,0.001336898395721925,1,1,1786684314.9138503,1786684314.9205785,1786684314.9205785
1,723,1,0.0013831258644536654,1,1,1786684398.7642834,1786684398.7663927,1786684398.7663927
2,816,1,0.0012254901960784314,1,1,1786684421.2701004,1786684421.274301,1786684421.274301
3,775,1,0.0012903225806451613,1,1,1786684442.7415504,1786684442.7453055,1786684442.7453055
4,807,1,0.0012391573729863693,1,1,1786684462.0274832,1786684462.0329,1786684462.0329
5,810,1,0.0012345679012345679,1,1,1786684484.2163162,1786684484.2201324,1786684484.2201324
6,740,1,0.0013513513513513514,1,1,1786684577.3260005,1786684577.3334842,1786684577.3334842
7,784,1,0.0012755102040816326,1,1,1786684596.6786664,1786684596.6826491,1786684596.6826491
8,793,1,0.0012610340479192938,1,1,1786684618.3670003,1786684618.375163,1786684618.375163
9,725,1,0.001379310344827586,1,1,1786684703.8524003,1786684703.8569388,1786684703.8569388
10,625,1,0.0016,1,1,1786684722.2541163,1786684722.2550318,1786684722.2550318
11,662,1,0.0015105740181268882,1,1,1786684738.9708164,1786684738.9724221,1786684738.9724221
12,873,1,0.001145475372279496,1,1,1786684754.5697334,1786684754.57948,1786684754.57948
13,763,1,0.001310615989515072,1,1,1786684774.5230002,1786684774.5276601,1786684774.5276601
14,710,1,0.0014084507042253522,1,1,1786684793.3084333,1786684793.3144138,1786684793.3144138
15,767,1,0.001303780964797914,1,1,1786684811.6267333,1786684811.6353235,1786684811.6353235
16,791,1,0.0012642225031605564,1,1,1786684837.0187664,1786684837.026043,1786684837.026043
17,748,1,0.001336898395721925,1,1,1786684859.7247834,1786684859.7299633,1786684859.7299633
18,849,1,0.001177856301531213,1,1,1786684878.9773502,1786684878.986703,1786684878.986703
19,766,1,0.0013054830287206266,1,1,1786684900.3487003,1786684900.3523982,1786684900.3523982
20,795,1,0.0012578616352201257,1,1,1786684920.5188503,1786684920.5250485,1786684920.5250485
